Dimensionality,Model,Split,Distance,Accuracy Mean,Accuracy Std,Time (s),Accuracy %
PCA,Linear,80/10/10,N/A,0.8981131175734834,0.005138062028005968,10.305859565734863,89.81131175734835
PCA,kNN,80/10/10,euclidean,0.8981131175734834,0.005138062028005968,7.421124458312988,89.81131175734835
PCA,kNN,80/10/10,euclidean,0.9523696841776111,0.0027400959567839005,0.8151347637176514,95.23696841776112
PCA,kNN,80/10/10,manhattan,0.8981131175734834,0.005138062028005968,5.382593154907227,89.81131175734835
PCA,kNN,80/10/10,manhattan,0.9459937460913069,0.0031195152148935246,3.9798953533172607,94.59937460913069
PCA,kNN,80/10/10,chebyshev,0.8981131175734834,0.005138062028005968,5.335948467254639,89.81131175734835
PCA,kNN,80/10/10,chebyshev,0.9338671826141338,0.005303872962143561,3.1769821643829346,93.38671826141338
PCA,Linear,70/15/15,N/A,0.8937142857142858,0.004025429372458668,7.7943949699401855,89.37142857142858
PCA,kNN,70/15/15,euclidean,0.8937142857142858,0.004025429372458668,8.030508995056152,89.37142857142858
PCA,kNN,70/15/15,euclidean,0.9528571428571428,0.0021665358411575974,0.7107784748077393,95.28571428571428
PCA,kNN,70/15/15,manhattan,0.8937142857142858,0.004025429372458668,5.589752912521362,89.37142857142858
PCA,kNN,70/15/15,manhattan,0.9437142857142856,0.0008329931278350338,2.770632743835449,94.37142857142857
PCA,kNN,70/15/15,chebyshev,0.8937142857142858,0.004025429372458668,6.2577736377716064,89.37142857142858
PCA,kNN,70/15/15,chebyshev,0.9302857142857144,0.004729412959213398,2.4515342712402344,93.02857142857144
PCA,Linear,60/20/20,N/A,0.8906666666666666,0.00910433352249844,8.489875793457031,89.06666666666666
PCA,kNN,60/20/20,euclidean,0.8906666666666666,0.00910433352249844,6.095096826553345,89.06666666666666
PCA,kNN,60/20/20,euclidean,0.9466666666666667,0.0031180478223116243,0.5813620090484619,94.66666666666667
PCA,kNN,60/20/20,manhattan,0.8906666666666666,0.00910433352249844,5.597239017486572,89.06666666666666
PCA,kNN,60/20/20,manhattan,0.9393333333333335,0.003887301263230178,2.63214111328125,93.93333333333335
PCA,kNN,60/20/20,chebyshev,0.8906666666666666,0.00910433352249844,7.214513301849365,89.06666666666666
PCA,kNN,60/20/20,chebyshev,0.9283333333333333,0.006191391873668885,1.8002033233642578,92.83333333333333
PCA,Linear,60/30/10,N/A,0.8934819293855991,0.004583885857254051,8.087141275405884,89.34819293855992
PCA,kNN,60/30/10,euclidean,0.8934819293855991,0.004583885857254051,5.270145416259766,89.34819293855992
